,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Label
0,1,5.1,3.5,1.4,0.2,Iris-setosa,1
1,2,4.9,3.0,1.4,0.2,Iris-setosa,1
2,3,4.7,3.2,1.3,0.2,Iris-setosa,1
3,4,4.6,3.1,1.5,0.2,Iris-setosa,1
4,5,5.0,3.6,1.4,0.2,Iris-setosa,1
5,6,5.4,3.9,1.7,0.4,Iris-setosa,1
6,7,4.6,3.4,1.4,0.3,Iris-setosa,1
7,8,5.0,3.4,1.5,0.2,Iris-setosa,1
8,9,4.4,2.9,1.4,0.2,Iris-setosa,1
9,10,4.9,3.1,1.5,0.1,Iris-setosa,1
10,11,5.4,3.7,1.5,0.2,Iris-setosa,1
11,12,4.8,3.4,1.6,0.2,Iris-setosa,1
12,13,4.8,3.0,1.4,0.1,Iris-setosa,1
13,14,4.3,3.0,1.1,0.1,Iris-setosa,1
14,15,5.8,4.0,1.2,0.2,Iris-setosa,1
15,16,5.7,4.4,1.5,0.4,Iris-setosa,1
16,17,5.4,3.9,1.3,0.4,Iris-setosa,1
17,18,5.1,3.5,1.4,0.3,Iris-setosa,1
18,19,5.7,3.8,1.7,0.3,Iris-setosa,1
19,20,5.1,3.8,1.5,0.3,Iris-setosa,1
20,21,5.4,3.4,1.7,0.2,Iris-setosa,1
21,22,5.1,3.7,1.5,0.4,Iris-setosa,1
22,23,4.6,3.6,1.0,0.2,Iris-setosa,1
23,24,5.1,3.3,1.7,0.5,Iris-setosa,1
24,25,4.8,3.4,1.9,0.2,Iris-setosa,1
25,26,5.0,3.0,1.6,0.2,Iris-setosa,1
26,27,5.0,3.4,1.6,0.4,Iris-setosa,1
27,28,5.2,3.5,1.5,0.2,Iris-setosa,1
28,29,5.2,3.4,1.4,0.2,Iris-setosa,1
29,30,4.7,3.2,1.6,0.2,Iris-setosa,1
30,31,4.8,3.1,1.6,0.2,Iris-setosa,1
31,32,5.4,3.4,1.5,0.4,Iris-setosa,1
32,33,5.2,4.1,1.5,0.1,Iris-setosa,1
33,34,5.5,4.2,1.4,0.2,Iris-setosa,1
34,35,4.9,3.1,1.5,0.1,Iris-setosa,1
35,36,5.0,3.2,1.2,0.2,Iris-setosa,1
36,37,5.5,3.5,1.3,0.2,Iris-setosa,1
37,38,4.9,3.1,1.5,0.1,Iris-setosa,1
38,39,4.4,3.0,1.3,0.2,Iris-setosa,1
39,40,5.1,3.4,1.5,0.2,Iris-setosa,1
40,41,5.0,3.5,1.3,0.3,Iris-setosa,1
41,42,4.5,2.3,1.3,0.3,Iris-setosa,1
42,43,4.4,3.2,1.3,0.2,Iris-setosa,1
43,44,5.0,3.5,1.6,0.6,Iris-setosa,1
44,45,5.1,3.8,1.9,0.4,Iris-setosa,1
45,46,4.8,3.0,1.4,0.3,Iris-setosa,1
46,47,5.1,3.8,1.6,0.2,Iris-setosa,1
47,48,4.6,3.2,1.4,0.2,Iris-setosa,1
48,49,5.3,3.7,1.5,0.2,Iris-setosa,1
49,50,5.0,3.3,1.4,0.2,Iris-setosa,1
50,51,7.0,3.2,4.7,1.4,Iris-versicolor,0
51,52,6.4,3.2,4.5,1.5,Iris-versicolor,2
52,53,6.9,3.1,4.9,1.5,Iris-versicolor,0
53,54,5.5,2.3,4.0,1.3,Iris-versicolor,2
54,55,6.5,2.8,4.6,1.5,Iris-versicolor,2
55,56,5.7,2.8,4.5,1.3,Iris-versicolor,2
56,57,6.3,3.3,4.7,1.6,Iris-versicolor,2
57,58,4.9,2.4,3.3,1.0,Iris-versicolor,1
58,59,6.6,2.9,4.6,1.3,Iris-versicolor,2
59,60,5.2,2.7,3.9,1.4,Iris-versicolor,2
60,61,5.0,2.0,3.5,1.0,Iris-versicolor,1
61,62,5.9,3.0,4.2,1.5,Iris-versicolor,2
62,63,6.0,2.2,4.0,1.0,Iris-versicolor,2
63,64,6.1,2.9,4.7,1.4,Iris-versicolor,2
64,65,5.6,2.9,3.6,1.3,Iris-versicolor,2
65,66,6.7,3.1,4.4,1.4,Iris-versicolor,0
66,67,5.6,3.0,4.5,1.5,Iris-versicolor,2
67,68,5.8,2.7,4.1,1.0,Iris-versicolor,2
68,69,6.2,2.2,4.5,1.5,Iris-versicolor,2
69,70,5.6,2.5,3.9,1.1,Iris-versicolor,2
70,71,5.9,3.2,4.8,1.8,Iris-versicolor,2
71,72,6.1,2.8,4.0,1.3,Iris-versicolor,2
72,73,6.3,2.5,4.9,1.5,Iris-versicolor,2
73,74,6.1,2.8,4.7,1.2,Iris-versicolor,2
74,75,6.4,2.9,4.3,1.3,Iris-versicolor,2
75,76,6.6,3.0,4.4,1.4,Iris-versicolor,0
76,77,6.8,2.8,4.8,1.4,Iris-versicolor,0
77,78,6.7,3.0,5.0,1.7,Iris-versicolor,0
78,79,6.0,2.9,4.5,1.5,Iris-versicolor,2
79,80,5.7,2.6,3.5,1.0,Iris-versicolor,2
80,81,5.5,2.4,3.8,1.1,Iris-versicolor,2
81,82,5.5,2.4,3.7,1.0,Iris-versicolor,2
82,83,5.8,2.7,3.9,1.2,Iris-versicolor,2
83,84,6.0,2.7,5.1,1.6,Iris-versicolor,2
84,85,5.4,3.0,4.5,1.5,Iris-versicolor,2
85,86,6.0,3.4,4.5,1.6,Iris-versicolor,2
86,87,6.7,3.1,4.7,1.5,Iris-versicolor,0
87,88,6.3,2.3,4.4,1.3,Iris-versicolor,2
88,89,5.6,3.0,4.1,1.3,Iris-versicolor,2
89,90,5.5,2.5,4.0,1.3,Iris-versicolor,2
90,91,5.5,2.6,4.4,1.2,Iris-versicolor,2
91,92,6.1,3.0,4.6,1.4,Iris-versicolor,2
92,93,5.8,2.6,4.0,1.2,Iris-versicolor,2
93,94,5.0,2.3,3.3,1.0,Iris-versicolor,1
94,95,5.6,2.7,4.2,1.3,Iris-versicolor,2
95,96,5.7,3.0,4.2,1.2,Iris-versicolor,2
96,97,5.7,2.9,4.2,1.3,Iris-versicolor,2
97,98,6.2,2.9,4.3,1.3,Iris-versicolor,2
98,99,5.1,2.5,3.0,1.1,Iris-versicolor,1
99,100,5.7,2.8,4.1,1.3,Iris-versicolor,2
100,101,6.3,3.3,6.0,2.5,Iris-virginica,0
101,102,5.8,2.7,5.1,1.9,Iris-virginica,2
102,103,7.1,3.0,5.9,2.1,Iris-virginica,0
103,104,6.3,2.9,5.6,1.8,Iris-virginica,2
104,105,6.5,3.0,5.8,2.2,Iris-virginica,0
105,106,7.6,3.0,6.6,2.1,Iris-virginica,0
106,107,4.9,2.5,4.5,1.7,Iris-virginica,2
107,108,7.3,2.9,6.3,1.8,Iris-virginica,0
108,109,6.7,2.5,5.8,1.8,Iris-virginica,0
109,110,7.2,3.6,6.1,2.5,Iris-virginica,0
110,111,6.5,3.2,5.1,2.0,Iris-virginica,0
111,112,6.4,2.7,5.3,1.9,Iris-virginica,0
112,113,6.8,3.0,5.5,2.1,Iris-virginica,0
113,114,5.7,2.5,5.0,2.0,Iris-virginica,2
114,115,5.8,2.8,5.1,2.4,Iris-virginica,2
115,116,6.4,3.2,5.3,2.3,Iris-virginica,0
116,117,6.5,3.0,5.5,1.8,Iris-virginica,0
117,118,7.7,3.8,6.7,2.2,Iris-virginica,0
118,119,7.7,2.6,6.9,2.3,Iris-virginica,0
119,120,6.0,2.2,5.0,1.5,Iris-virginica,2
120,121,6.9,3.2,5.7,2.3,Iris-virginica,0
121,122,5.6,2.8,4.9,2.0,Iris-virginica,2
122,123,7.7,2.8,6.7,2.0,Iris-virginica,0
123,124,6.3,2.7,4.9,1.8,Iris-virginica,2
124,125,6.7,3.3,5.7,2.1,Iris-virginica,0
125,126,7.2,3.2,6.0,1.8,Iris-virginica,0
126,127,6.2,2.8,4.8,1.8,Iris-virginica,2
127,128,6.1,3.0,4.9,1.8,Iris-virginica,2
128,129,6.4,2.8,5.6,2.1,Iris-virginica,0
129,130,7.2,3.0,5.8,1.6,Iris-virginica,0
130,131,7.4,2.8,6.1,1.9,Iris-virginica,0
131,132,7.9,3.8,6.4,2.0,Iris-virginica,0
132,133,6.4,2.8,5.6,2.2,Iris-virginica,0
133,134,6.3,2.8,5.1,1.5,Iris-virginica,2
134,135,6.1,2.6,5.6,1.4,Iris-virginica,2
135,136,7.7,3.0,6.1,2.3,Iris-virginica,0
136,137,6.3,3.4,5.6,2.4,Iris-virginica,0
137,138,6.4,3.1,5.5,1.8,Iris-virginica,0
138,139,6.0,3.0,4.8,1.8,Iris-virginica,2
139,140,6.9,3.1,5.4,2.1,Iris-virginica,0
140,141,6.7,3.1,5.6,2.4,Iris-virginica,0
141,142,6.9,3.1,5.1,2.3,Iris-virginica,0
142,143,5.8,2.7,5.1,1.9,Iris-virginica,2
143,144,6.8,3.2,5.9,2.3,Iris-virginica,0
144,145,6.7,3.3,5.7,2.5,Iris-virginica,0
145,146,6.7,3.0,5.2,2.3,Iris-virginica,0
146,147,6.3,2.5,5.0,1.9,Iris-virginica,0
147,148,6.5,3.0,5.2,2.0,Iris-virginica,0
148,149,6.2,3.4,5.4,2.3,Iris-virginica,0
149,150,5.9,3.0,5.1,1.8,Iris-virginica,2
